stem,split
009328,train
002429,train
008489,train
004592,train
007447,train
007623,train
004887,train
005398,train
009085,train
004001,train
000877,train
001781,train
009653,train
005455,train
007885,train
004120,train
001648,train
000081,train
008232,train
006025,train
007818,train
000085,train
008652,train
003905,train
004615,train
007557,train
004574,train
004203,train
003153,train
004662,train
008700,train
005251,train
004819,train
003038,train
003340,train
001333,train
004884,train
005218,train
005945,train
003840,train
001699,train
000190,train
007148,train
000377,train
007092,train
005544,train
002720,train
007211,train
009627,train
001345,train
007387,train
009004,train
001282,train
002179,train
009236,train
007002,train
006168,train
001428,train
008605,train
004841,train
002270,train
005109,train
006023,train
006309,train
001457,train
001736,train
002269,train
005177,train
005677,train
004976,train
005910,train
008545,train
009121,train
003348,train
008183,train
002924,train
005951,train
001803,train
006673,train
001114,train
009588,train
006761,train
005963,train
007052,train
008990,train
006031,train
004492,train
008632,train
009403,train
002216,train
006551,train
007263,train
000245,train
007026,train
008964,train
001953,train
000094,train
006848,train
009257,train
006642,train
007697,train
009911,train
002294,train
004904,train
008192,train
008061,train
009148,train
006695,train
000049,train
006250,train
002794,train
004194,train
004171,train
000816,train
001727,train
002931,train
007108,train
000970,train
005010,train
002736,train
006380,train
006010,train
001653,train
009584,train
003815,train
006820,train
000673,train
001405,train
006005,train
004062,train
008896,train
006399,train
006933,train
006178,train
000724,train
006923,train
000471,train
001044,train
002735,train
009460,train
006969,train
005861,train
009410,train
002860,train
008264,train
003831,train
001770,train
005672,train
000124,train
001822,train
009685,train
009710,train
003767,train
004160,train
001613,train
004410,train
008101,train
007982,train
006183,train
002874,train
005351,train
005565,train
003424,train
003091,train
001944,train
007001,train
003019,train
004638,train
003579,train
004355,train
000417,train
000191,train
002667,train
001667,train
005639,train
000230,train
005743,train
000937,train
005204,train
009610,train
003780,train
007446,train
001493,train
006908,train
007103,train
009838,train
009021,train
005098,train
006254,train
007775,train
008715,train
004536,train
003972,train
000304,train
005215,train
007337,train
000901,train
004541,train
006102,train
008952,train
003633,train
008067,train
009170,train
001058,train
008073,train
004945,train
004156,train
008127,train
003932,train
000575,train
001364,train
006619,train
003967,train
002398,train
006835,train
005025,train
008303,train
003716,train
009739,train
003698,train
005029,train
005089,train
007240,train
009014,train
004875,train
003749,train
002110,train
003751,train
000084,train
004709,train
004070,train
001618,train
006814,train
003715,train
003132,train
006645,train
005887,train
003669,train
003445,train
001216,train
005006,train
007143,train
001201,train
003511,train
009938,train
003043,train
004546,train
001274,train
009395,train
005535,train
002022,train
002219,train
003631,train
001741,train
003718,train
002443,train
004845,train
009113,train
005052,train
009030,train
002830,train
005225,train
008894,train
007413,train
002133,train
001266,train
004303,train
003213,train
009587,train
002431,train
009955,train
009962,train
005709,train
003766,train
004576,train
002691,train
002709,train
000545,train
003825,train
005078,train
004125,train
004661,train
008967,train
000929,train
005148,train
008281,train
005317,train
007976,train
009917,train
003672,train
008442,train
007828,train
009980,train
009684,train
008738,train
003473,train
009003,train
009531,train
003199,train
001349,train
000182,train
004100,train
006516,train
009515,train
007952,train
002722,train
004389,train
000772,train
000805,train
004893,train
002633,train
006715,train
000172,train
004201,train
001696,train
003461,train
007964,train
000533,train
004036,train
002224,train
008052,train
009179,train
009703,train
009040,train
009326,train
000511,train
006391,train
002484,train
009000,train
001179,train
005641,train
003551,train
007329,train
004833,train
003175,train
002799,train
003953,train
007014,train
003480,train
007095,train
005917,train
003329,train
007920,train
009718,train
005575,train
002760,train
006607,train
006927,train
004472,train
000205,train
009963,train
002104,train
004726,train
005335,train
003786,train
004298,train
000561,train
007950,train
009647,train
000649,train
003933,train
009974,train
007868,train
008088,train
000482,train
007582,train
007937,train
006316,train
006784,train
009463,train
003274,train
005417,train
009147,train
009094,train
000249,train
008624,train
008458,train
000787,train
008304,train
003296,train
006206,train
008521,train
000071,train
006911,train
002590,train
008079,train
009149,train
009352,train
000743,train
000296,train
001310,train
007929,train
003894,train
003888,train
004876,train
007809,train
007985,train
005854,train
005095,train
005479,train
007977,train
005350,train
009988,train
002141,train
001681,train
002403,train
004913,train
009893,train
008026,train
005702,train
004419,train
000866,train
003021,train
009357,train
004177,train
003732,train
009391,train
007424,train
005532,train
009551,train
009077,train
001016,train
000515,train
008403,train
009687,train
005972,train
000247,train
004416,train
004654,train
003607,train
007781,train
002497,train
000812,train
000184,train
005739,train
006816,train
004023,train
009761,train
009337,train
005548,train
005893,train
000113,train
001452,train
007511,train
002922,train
002358,train
003542,train
004320,train
000529,train
001722,train
000279,train
009708,train
009169,train
002915,train
008942,train
000864,train
006035,train
006465,train
009624,train
006676,train
000635,train
002162,train
003677,train
000393,train
008653,train
006157,train
009987,train
003308,train
003170,train
001231,train
009916,train
001714,train
009051,train
000587,train
006006,train
007593,train
004993,train
007772,train
007991,train
000652,train
007442,train
002849,train
005463,train
000308,train
000492,train
008272,train
000947,train
009816,train
009765,train
006573,train
000122,train
006417,train
004045,train
008019,train
005520,train
003486,train
001306,train
006361,train
005821,train
007891,train
009301,train
003476,train
004946,train
000382,train
002541,train
005217,train
005593,train
003357,train
002395,train
002113,train
003575,train
002882,train
004478,train
001504,train
006506,train
007578,train
005732,train
004605,train
003448,train
004048,train
009251,train
007236,train
003845,train
002307,train
008415,train
004517,train
001764,train
000874,train
003076,train
006819,train
008699,train
004724,train
008596,train
000689,train
001212,train
009545,train
001815,train
003686,train
004482,train
001642,train
006467,train
009362,train
008294,train
002575,train
004219,train
007889,train
009964,train
006781,train
003943,train
001301,train
006832,train
004832,train
006318,train
008616,train
005212,train
004921,train
008643,train
006193,train
004704,train
002326,train
006559,train
002601,train
007874,train
001508,train
001760,train
002422,train
006714,train
009979,train
001172,train
005358,train
006545,train
006694,train
004258,train
004222,train
000045,train
009616,train
006677,train
005611,train
007184,train
003852,train
000862,train
008380,train
001957,train
002795,train
007658,train
002474,train
006150,train
000667,train
007223,train
000040,train
002465,train
000691,train
009697,train
000624,train
000134,train
008060,train
003411,train
008287,train
003202,train
003355,train
005261,train
000507,train
000500,train
009041,train
009276,train
001723,train
008929,train
006915,train
003464,train
002758,train
000199,train
007293,train
000698,train
009564,train
007036,train
008373,train
002362,train
005172,train
000262,train
005788,train
008541,train
000057,train
005203,train
004446,train
006064,train
003955,train
009576,train
007114,train
000773,train
006964,train
006451,train
005290,train
004960,train
004278,train
002558,train
007409,train
007750,train
009781,train
004629,train
004985,train
002281,train
008436,train
009607,train
004489,train
007644,train
004758,train
005756,train
007175,train
006370,train
000796,train
005597,train
008252,train
009145,train
009798,train
008501,train
000336,train
009467,train
005836,train
003212,train
007270,train
002929,train
006438,train
004132,train
000941,train
009166,train
007153,train
000644,train
008992,train
005826,train
001740,train
000881,train
008629,train
006827,train
004212,train
006707,train
009672,train
002994,train
000535,train
005735,train
001947,train
001019,train
006538,train
009921,train
000413,train
001666,train
003731,train
006374,train
003576,train
007815,train
006414,train
004224,train
001276,train
008578,train
007854,train
000312,train
000669,train
008988,train
003070,train
008367,train
009915,train
001934,train
005032,train
009436,train
005605,train
001955,train
003984,train
000203,train
004931,train
008136,train
001916,train
005871,train
005116,train
009120,train
000513,train
007067,train
009182,train
003555,train
002891,train
003600,train
004714,train
002233,train
008812,train
006823,train
006017,train
008820,train
003754,train
005322,train
002299,train
004850,train
009793,train
009069,train
006136,train
004468,train
006243,train
001461,train
003675,train
008322,train
001022,train
002649,train
008576,train
000476,train
005874,train
005552,train
001218,train
008604,train
006445,train
009976,train
006618,train
003264,train
004727,train
002000,train
005523,train
007539,train
005014,train
005701,train
000808,train
002779,train
001892,train
004109,train
001385,train
006175,train
002661,train
008037,train
008197,train
005106,train
009882,train
007469,train
001380,train
001830,train
002947,train
000752,train
001390,train
005684,train
002087,train
004584,train
009570,train
003149,train
007288,train
003287,train
002921,train
006777,train
005538,train
002007,train
009591,train
008143,train
006703,train
008656,train
005621,train
005248,train
009305,train
003350,train
003334,train
000083,train
006821,train
001141,train
004922,train
003921,train
003413,train
005135,train
006719,train
003794,train
008300,train
005339,train
009264,train
001845,train
005254,train
003614,train
005999,train
003663,train
008506,train
001053,train
008958,train
001990,train
003398,train
004134,train
006998,train
006443,train
006649,train
005469,train
008135,train
005742,train
003546,train
009944,train
007819,train
002645,train
009415,train
009825,train
001705,train
009539,train
008374,train
004802,train
007346,train
004305,train
004910,train
006603,train
001465,train
002530,train
004814,train
007571,train
002797,train
007738,train
006375,train
004948,train
008275,train
002329,train
001034,train
008406,train
008662,train
007443,train
002509,train
001025,train
004016,train
003838,train
005722,train
005233,train
000568,train
004098,train
006213,train
006862,train
003227,train
002011,train
005995,train
009933,train
002823,train
004672,train
008013,train
009631,train
006130,train
002505,train
000197,train
009425,train
009495,train
003163,train
009207,train
003907,train
009920,train
008534,train
008825,train
009743,train
000121,train
009492,train
009358,train
005844,train
008778,train
005090,train
003909,train
005404,train
007570,train
000883,train
003331,train
000991,train
003951,train
008949,train
006045,train
008905,train
009906,train
009377,train
009790,train
008305,train
004363,train
006675,train
000429,train
000256,train
000629,train
008222,train
002121,train
002987,train
009783,train
001754,train
007826,train
002867,train
008975,train
008450,train
009289,train
004782,train
000623,train
008558,train
008719,train
000700,train
001563,train
001071,train
001223,train
000905,train
009203,train
003275,train
007880,train
006076,train
007503,train
008404,train
004434,train
009826,train
007439,train
001676,train
003211,train
006218,train
000943,train
007522,train
000233,train
009039,train
001970,train
006593,train
001128,train
001459,train
007584,train
002622,train
008788,train
001702,train
008263,train
001256,train
008338,train
001628,train
000385,train
005134,train
009901,train
005557,train
003839,train
005798,train
000209,train
008446,train
005541,train
005394,train
004338,train
008112,train
008467,train
000576,train
001061,train
008018,train
008180,train
006903,train
009507,train
002319,train
008660,train
008405,train
000196,train
008884,train
001409,train
003267,train
009992,train
005891,train
004995,train
009683,train
008412,train
009435,train
002898,train
003557,train
004963,train
002098,train
009711,train
006925,train
007420,train
006643,train
005334,train
001910,train
006393,train
004524,train
002648,train
008717,train
003738,train
003973,train
007887,train
004063,train
003700,train
006055,train
003539,train
002288,train
003001,train
001926,train
002178,train
002023,train
008843,train
000108,train
000334,train
004031,train
004208,train
006757,train
001798,train
006295,train
002333,train
000299,train
008803,train
001191,train
008407,train
007084,train
005648,train
005122,train
009721,train
008848,train
003849,train
006546,train
006223,train
007395,train
001421,train
002097,train
006330,train
007594,train
006097,train
002249,train
009245,train
005662,train
004093,train
004550,train
004139,train
006840,train
008003,train
006404,train
005365,train
002453,train
006173,train
002276,train
002424,train
000501,train
008982,train
005699,train
002554,train
001007,train
000367,train
007335,train
009023,train
008708,train
004392,train
005602,train
006124,train
002905,train
008838,train
002786,train
009248,train
009509,train
005929,train
009978,train
009336,train
009220,train
004431,train
004429,train
008137,train
008036,train
006115,train
001011,train
009230,train
003620,train
003805,train
006612,train
006659,train
006824,train
004248,train
002726,train
001134,train
007379,train
007212,train
004754,train
005103,train
000408,train
000280,train
001873,train
001546,train
003641,train
005608,train
006557,train
002405,train
000358,train
005347,train
008851,train
004376,train
007722,train
009478,train
002494,train
002894,train
003497,train
004601,train
001209,train
001966,train
008886,train
003353,train
002635,train
008673,train
009568,train
006611,train
003568,train
007034,train
000294,train
004218,train
002470,train
001202,train
006195,train
007104,train
005670,train
001835,train
001492,train
000868,train
005525,train
008784,train
002259,train
005973,train
000335,train
000591,train
000906,train
002056,train
005230,train
001518,train
003059,train
004585,train
007120,train
003622,train
003328,train
004525,train
007795,train
006048,train
008872,train
007050,train
005683,train
006355,train
003832,train
007624,train
003604,train
002460,train
005516,train
000875,train
002764,train
004148,train
000302,train
008919,train
005984,train
002487,train
004596,train
000114,train
001932,train
004677,train
003660,train
002911,train
000650,train
002723,train
002968,train
009883,train
008291,train
009541,train
009327,train
005831,train
008038,train
008388,train
000912,train
002753,train
002746,train
006052,train
003158,train
007081,train
009925,train
007947,train
005497,train
009593,train
002122,train
000378,train
001463,train
005485,train
000902,train
008591,train
005237,train
002863,train
006063,train
007416,train
004812,train
001961,train
003687,train
002984,train
009389,train
007410,train
003201,train
002135,train
005965,train
004420,train
005157,train
005797,train
007817,train
009363,train
003265,train
009273,train
008683,train
003061,train
000497,train
009135,train
000665,train
001836,train
007523,train
007459,train
001408,train
008440,train
003167,train
004795,train
000755,train
007576,train
002774,train
009471,train
004895,train
002831,train
007011,train
003087,train
009809,train
003983,train
000628,train
007968,train
004551,train
001168,train
000658,train
003392,train
006442,train
005618,train
004365,train
003270,train
000193,train
004872,train
005178,train
009350,train
003801,train
001064,train
006889,train
001255,train
007358,train
009430,train
007287,train
007656,train
005113,train
009178,train
002778,train
009270,train
007061,train
009908,train
009490,train
000257,train
000774,train
008353,train
008743,train
006914,train
004856,train
003587,train
006674,train
000540,train
004764,train
009682,train
009518,train
003027,train
000836,train
008588,train
006452,train
003763,train
008114,train
003870,train
004936,train
003210,train
000315,train
002784,train
003319,train
006235,train
000328,train
000357,train
003601,train
009887,train
000268,train
004849,train
007864,train
004747,train
007419,train
008714,train
003884,train
004711,train
005377,train
003904,train
001414,train
008756,train
008564,train
007414,train
005665,train
004696,train
002062,train
001095,train
001444,train
009714,train
003569,train
005454,train
008852,train
009392,train
003338,train
005619,train
005496,train
005556,train
009470,train
005815,train
005435,train
006849,train
000167,train
002272,train
006447,train
001568,train
003586,train
003525,train
001490,train
008212,train
007051,train
007266,train
008499,train
005110,train
005571,train
001744,train
007345,train
008681,train
004442,train
001363,train
001576,train
006263,train
005976,train
005697,train
001517,train
008485,train
007925,train
003541,train
006845,train
002289,train
003710,train
008547,train
005450,train
003594,train
008667,train
006408,train
007408,train
002363,train
006913,train
003520,train
006710,train
006822,train
007441,train
003299,train
006696,train
006920,train
002028,train
008360,train
007627,train
001963,train
006039,train
005696,train
007339,train
004346,train
002065,train
008574,train
005583,train
007380,train
007411,train
006597,train
006131,train
000910,train
003807,train
005612,train
001015,train
004665,train
009659,train
004947,train
009281,train
007597,train
007401,train
000886,train
007466,train
002137,train
001686,train
000354,train
000940,train
006938,train
004328,train
008256,train
009126,train
004969,train
003208,train
009133,train
003298,train
004007,train
008274,train
000559,train
005472,train
000244,train
000131,train
006801,train
006331,train
003536,train
009800,train
007265,train
000795,train
006208,train
004981,train
001529,train
009426,train
005311,train
006526,train
007969,train
000593,train
008972,train
005165,train
009421,train
005195,train
006946,train
002413,train
004205,train
004826,train
001689,train
007580,train
007166,train
009091,train
002310,train
000451,train
006863,train
004713,train
008416,train
001716,train
008544,train
005510,train
002806,train
002904,train
002637,train
002109,train
003617,train
009580,train
003523,train
000720,train
007128,train
000214,train
000427,train
000177,train
002926,train
009984,train
008425,train
008326,train
009424,train
001167,train
009601,train
007132,train
000176,train
003332,train
004867,train
009464,train
004042,train
002887,train
008453,train
008182,train
002813,train
002553,train
007133,train
007422,train
006176,train
004570,train
002210,train
001482,train
000391,train
006970,train
007706,train
005092,train
005042,train
006732,train
009116,train
009032,train
005437,train
006230,train
006480,train
004228,train
005306,train
002510,train
000714,train
000979,train
001687,train
009341,train
002652,train
007038,train
003050,train
000844,train
002680,train
003842,train
001704,train
001162,train
008895,train
007089,train
000029,train
004779,train
006139,train
001994,train
007347,train
008721,train
004698,train
009998,train
008934,train
003976,train
005769,train
000997,train
009886,train
006385,train
006369,train
001515,train
006103,train
004474,train
006734,train
003500,train
005498,train
005814,train
008475,train
002793,train
008107,train
006647,train
009158,train
002770,train
007786,train
003723,train
000494,train
001328,train
009002,train
004810,train
006974,train
009365,train
004239,train
000903,train
007870,train
003345,train
002961,train
000261,train
002917,train
007139,train
005430,train
009932,train
000204,train
000705,train
006811,train
005127,train
006114,train
000187,train
005754,train
003621,train
006356,train
006483,train
008240,train
007634,train
003850,train
002373,train
009284,train
008790,train
006698,train
007382,train
003664,train
009146,train
006166,train
000175,train
001383,train
009767,train
003097,train
000151,train
008438,train
003343,train
006792,train
006119,train
005367,train
002528,train
007998,train
008879,train
006988,train
000976,train
004940,train
004944,train
006104,train
004513,train
000573,train
004746,train
001793,train
000347,train
009080,train
006154,train
003496,train
009122,train
001224,train
007315,train
003573,train
005490,train
009615,train
000723,train
000831,train
001187,train
006665,train
008078,train
009453,train
009210,train
009950,train
009367,train
000226,train
007113,train
006474,train
003666,train
001470,train
002192,train
007431,train
008216,train
009235,train
008081,train
000013,train
007295,train
002212,train
004725,train
008194,train
009681,train
009266,train
009342,train
009020,train
000015,train
002913,train
009213,train
005386,train
000620,train
001091,train
001599,train
003860,train
002812,train
008155,train
006800,train
007561,train
002582,train
001026,train
006434,train
003974,train
008529,train
000142,train
009153,train
005433,train
006185,train
000435,train
002514,train
007881,train
005137,train
009808,train
002776,train
005164,train
002015,train
003254,train
001608,train
002499,train
003018,train
002014,train
006387,train
003699,train
000728,train
009912,train
001057,train
003642,train
004721,train
008333,train
008670,train
004855,train
001135,train
000303,train
000663,train
008096,train
007958,train
008260,train
001132,train
001857,train
004917,train
003030,train
005441,train
001037,train
006529,train
007714,train
003494,train
007389,train
005650,train
004759,train
004287,train
008292,train
005319,train
000498,train
007053,train
005892,train
002433,train
000232,train
009466,train
002537,train
006113,train
000139,train
000790,train
001031,train
002991,train
000898,train
009890,train
009532,train
000425,train
003421,train
009504,train
008169,train
007550,train
000278,train
006094,train
009968,train
002243,train
001283,train
004322,train
003928,train
008831,train
005159,train
008926,train
000990,train
003982,train
001602,train
006721,train
001045,train
003590,train
005652,train
001107,train
006013,train
003009,train
008761,train
002805,train
003498,train
005863,train
008359,train
006829,train
009447,train
002171,train
007855,train
001564,train
001838,train
005182,train
004896,train
002964,train
005895,train
008488,train
006595,train
003129,train
002838,train
005512,train
000957,train
002181,train
002632,train
005586,train
001950,train
007587,train
001900,train
008867,train
008296,train
006540,train
006507,train
002769,train
000222,train
006791,train
006753,train
000863,train
009621,train
006737,train
001802,train
003291,train
001569,train
004364,train
002031,train
004488,train
002439,train
008460,train
005638,train
001404,train
007470,train
002160,train
003307,train
007876,train
006460,train
005540,train
009140,train
005789,train
006657,train
000619,train
002423,train
007099,train
007737,train
000456,train
004595,train
009443,train
007220,train
005146,train
008070,train
000542,train
001032,train
005309,train
000314,train
008173,train
000519,train
000337,train
003609,train
001174,train
000111,train
002557,train
007059,train
000211,train
006517,train
000692,train
002368,train
001938,train
006750,train
008644,train
001066,train
002308,train
009354,train
004493,train
000144,train
006748,train
001184,train
001206,train
001445,train
004385,train
001357,train
002350,train
005126,train
002099,train
005331,train
009521,train
006739,train
005960,train
001407,train
000216,train
005834,train
005185,train
004888,train
002208,train
004313,train
002875,train
004970,train
003400,train
007728,train
001004,train
006928,train
002498,train
004329,train
009432,train
008771,train
003172,train
001144,train
009243,train
006562,train
006036,train
006292,train
002376,train
006060,train
005357,train
001979,train
004277,train
007992,train
007278,train
005476,train
003818,train
002237,train
004593,train
006844,train
006793,train
004862,train
002040,train
002836,train
000030,train
005569,train
008191,train
008696,train
007549,train
007162,train
002788,train
003671,train
009231,train
001737,train
002086,train
001861,train
009191,train
004226,train
009858,train
006476,train
005660,train
007282,train
007070,train
003564,train
004430,train
005465,train
001788,train
004991,train
006942,train
000589,train
000064,train
009705,train
003729,train
000047,train
009702,train
004740,train
006220,train
007188,train
007759,train
001708,train
003238,train
007943,train
008271,train
000770,train
008963,train
006627,train
006468,train
007215,train
009137,train
002232,train
001782,train
